Address,Room,Area (m²),Sale Date,Price (€)
4 RUE LOUISE COLLOMB - GRENOBLE,3,69,01/2023,275000
26 RUE REVOL - GRENOBLE,4,67,01/2023,172000
20 RUE GABRIEL PERI - FONTAINE,7,142,01/2023,451400
8 RUE LT COL TROCARD - GRENOBLE,3,64,01/2023,150100
1 RUE DES GOURMETS - GRENOBLE,2,42,01/2023,81150
30 RUE MARECHAL JOFFRE - FONTAINE,4,81,01/2023,260434
31 RUE CLAUDE GENIN - GRENOBLE,1,16,01/2023,60000
14 RUE CHARLES TESTOUD - GRENOBLE,3,72,01/2023,203000
59 RUE DE STALINGRAD - GRENOBLE,3,80,01/2023,154000
7B AVENUE DE VALMY - GRENOBLE,1,19,01/2023,83200
16 RUE JEAN MACE - GRENOBLE,1,28,01/2023,108356
25 RUE JOSEPH BOUCHAYER - GRENOBLE,3,54,01/2023,116500
16 RUE ELISEE RECLUS - GRENOBLE,2,50,01/2023,176360
1 RUE CHARLES LORY - GRENOBLE,4,75,01/2023,120179
22 RUE GERARD PHILIPE - GRENOBLE,4,81,01/2023,149000
40 RUE GEORGES DE MANTEYER - GRENOBLE,4,80,01/2023,182100
30 RUE ANDRE RIVOIRE - GRENOBLE,3,63,01/2023,148000
6 RUE LAKANAL - GRENOBLE,1,10,01/2023,5000
22 RUE DOCTEUR GREFFIER - GRENOBLE,1,18,01/2023,51000
12 RUE BARRAL DE MONTFERRAT - GRENOBLE,4,83,01/2023,212500
23 RUE DE BOURGOGNE - GRENOBLE,2,39,01/2023,55000
11 RUE VOLTAIRE - GRENOBLE,3,96,01/2023,271500
7 RUE CHARLES PEGUY - GRENOBLE,2,50,01/2023,100000
48 RUE DE STALINGRAD - GRENOBLE,2,56,01/2023,105000
45 AVENUE LOUIS ARMAND - SEYSSINS,5,91,01/2023,242700
5 RUE AUBERT DUBAYET - GRENOBLE,1,21,01/2023,103200
12B RUE DES MARRONNIERS - FONTAINE,2,47,01/2023,84000
12 RUE LEON JOUHAUX - GRENOBLE,4,70,01/2023,145000
15 RUE COL DUMONT - GRENOBLE,1,18,01/2023,73000
1 RUE GEORGES MAEDER - SEYSSINET-PARISET,1,26,01/2023,65000
45 QUAI DU DRAC - FONTAINE,2,42,01/2023,92000
3 RUE MARBEUF - GRENOBLE,2,36,01/2023,103000
46 RUE LEON JOUHAUX - GRENOBLE,2,41,01/2023,126000
11 RUE DE CHAMROUSSE - GRENOBLE,2,39,01/2023,85000
14B RUE MOYRAND - GRENOBLE,1,44,01/2023,122000
11 BOULEVARD DES FRERES DESAIRE - SEYSSINET-PARISET,4,71,01/2023,191100
41 BOULEVARD JOSEPH VALLIER - GRENOBLE,3,51,01/2023,78000
82 AVENUE DU VERCORS - FONTAINE,3,53,01/2023,82000
2 RUE LAZARE CARNOT - GRENOBLE,2,52,01/2023,165000
10 RUE MAYEN - GRENOBLE,3,67,01/2023,226700
10 RUE RASPAIL - GRENOBLE,2,42,01/2023,102000
20 RUE DE STALINGRAD - GRENOBLE,2,53,01/2023,124750
12 RUE CONDE - GRENOBLE,3,68,01/2023,150000
11 CHEMIN MONTRIGAUD - GRENOBLE,3,56,01/2023,127800
5 RUE DES ARTS - GRENOBLE,1,24,01/2023,99250
10 AVENUE ALBERT 1ER DE BELGIQUE - GRENOBLE,3,76,01/2023,230040
23 RUE ALEXANDRE DUMAS - GRENOBLE,4,99,01/2023,284060
57 RUE LEON JOUHAUX - GRENOBLE,4,63,01/2023,114600
2 RUE ERNEST CALVAT - GRENOBLE,1,30,01/2023,124500
76 AVENUE DU VERCORS - SEYSSINET-PARISET,4,81,01/2023,197000
4 PLACE DE GORDES - GRENOBLE,1,27,01/2023,98500
16 RUE DOCTEUR HERMITE - GRENOBLE,2,57,01/2023,190000
4 RUE DU DRAC - GRENOBLE,1,19,01/2023,61000
36 RUE DU DOCTEUR CALMETTE - GRENOBLE,1,13,01/2023,48000
8 RUE DES BALMETTES - FONTAINE,2,42,01/2023,70000
43 RUE AMPERE - GRENOBLE,4,82,01/2023,372610
15 RUE DIDEROT - GRENOBLE,1,21,01/2023,46150
22 RUE PAUL VALLIER - FONTAINE,2,47,01/2023,128050
25 AVENUE ARISTIDE BRIAND - FONTAINE,1,18,01/2023,85000
12 RUE JOSEPH REY - GRENOBLE,2,54,01/2023,120000
115 AVENUE LA BRUYERE - GRENOBLE,4,84,01/2023,152250
3 RUE D AGIER - GRENOBLE,3,54,01/2023,155000
48 AVENUE LA BRUYERE - GRENOBLE,1,31,01/2023,57000
7 RUE JOSEPH BOUCHAYER - GRENOBLE,4,97,01/2023,223500
36 COURS BERRIAT - GRENOBLE,2,59,01/2023,247000
25 RUE LAVOISIER - GRENOBLE,5,117,01/2023,269750
24 RUE LECONTE DE L ISLE - GRENOBLE,3,63,01/2023,167730
9 MAIL MARCEL CACHIN - FONTAINE,2,49,01/2023,115500
33 CHEMIN DE L EGLISE - GRENOBLE,4,60,01/2023,119000
6 BOULEVARD CLEMENCEAU - GRENOBLE,3,69,01/2023,140000
18 RUE FEDERICO GARCIA LORCA - GRENOBLE,3,54,01/2023,85560
15 RUE AIME-BEREY - GRENOBLE,4,102,01/2023,315000
25B RUE MOYRAND - GRENOBLE,4,110,01/2023,293806
24 BOULEVARD GAL GALLIENI - GRENOBLE,3,49,01/2023,90500
1 SQUARE CHARLES MICHELS - GRENOBLE,1,37,01/2023,120000
64B AVENUE ARISTIDE BRIAND - FONTAINE,3,52,01/2023,113600
18 RUE LAVOISIER - GRENOBLE,4,66,01/2023,161500
11 RUE MARCEAU - GRENOBLE,3,66,01/2023,199000
23 AVENUE DU VERCORS - FONTAINE,2,18,01/2023,32000
38 RUE CHAMPS ELYSEES - GRENOBLE,2,46,01/2023,133000
37 RUE DE LA RESISTANCE - SEYSSINET-PARISET,4,65,01/2023,120000
110 COURS JEAN JAURES - GRENOBLE,2,56,01/2023,165600
29 ALLEE DES DEUX MONDES - GRENOBLE,3,65,01/2023,106400
