Address,Type,Flat(1)_House(0),Room,Bedroom,Area (m2),Sale Date,Sale_Since,Price (EUR),Price/m2
49 RUE DE GISORS - PONTOISE,Appartement,1,3,2,55,06/2023,248,168500,3063.64
24 RUE SAINT MARTIN - PONTOISE,Appartement,1,1,1,20,06/2023,248,82500,4125.0
14 RUE REVERT - PONTOISE,Appartement,1,4,3,68,06/2023,248,210000,3088.24
15 RUE DE L EPERON - PONTOISE,Appartement,1,1,1,26,06/2023,248,126000,4846.15
40 RUE DU GENERAL LECLERC - ST OUEN L AUMONE,Appartement,1,3,2,98,06/2023,248,140000,1428.57
6 RUE DU BAS BORD EAU - PONTOISE,Appartement,1,2,1,24,06/2023,248,145000,6041.67
21 BOULEVARD JACQUES TETE - PONTOISE,Appartement,1,3,2,53,06/2023,248,165000,3113.21
37 RUE DE LIESSE - ST OUEN L AUMONE,Maison,0,4,3,102,06/2023,248,378000,3705.88
36 PLACE NOTRE DAME - PONTOISE,Appartement,1,4,3,110,06/2023,248,317820,2889.27
26 RUE SERE DEPOIN - PONTOISE,Appartement,1,2,1,56,06/2023,248,179000,3196.43
1 RUE EMILE ZOLA - PONTOISE,Maison,0,5,4,92,06/2023,248,320000,3478.26
47 RUE DE LA ROCHE - PONTOISE,Appartement,1,1,1,21,06/2023,248,100000,4761.9
16 RUE SAINT JEAN - PONTOISE,Appartement,1,2,1,29,06/2023,248,137000,4724.14
30 AVENUE DE VERDUN - PONTOISE,Maison,0,4,3,61,06/2023,248,176900,2900.0
2 RUE NOBEL - PONTOISE,Maison,0,5,4,99,06/2023,248,275000,2777.78
17 RUE ABEL GANCE - ST OUEN L AUMONE,Maison,0,5,4,113,06/2023,248,375000,3318.58
30 RUE DE LA ROCHE - PONTOISE,Appartement,1,3,2,78,06/2023,248,290000,3717.95
17 AVENUE DU GENERAL DE GAULLE - ST OUEN L AUMONE,Appartement,1,2,1,45,06/2023,248,100000,2222.22
36 RUE PIERRE BUTIN - PONTOISE,Appartement,1,2,1,40,06/2023,248,105000,2625.0
13B RUE DE L EPERON - PONTOISE,Appartement,1,3,2,86,06/2023,248,254500,2959.3
15 RUE DU MAIL - ST OUEN L AUMONE,Appartement,1,3,2,69,06/2023,248,214000,3101.45
2 PLACE ARISTIDE BRIAND - PONTOISE,Appartement,1,2,1,53,06/2023,248,135500,2556.6
3 RUE GUY SOURCIS - ST OUEN L AUMONE,Appartement,1,2,1,39,06/2023,248,169000,4333.33
33 LES HTS DE MARCOUVILLE - PONTOISE,Appartement,1,4,3,81,06/2023,248,120000,1481.48
16 RUE ERIC DE MARTIMPREY - PONTOISE,Appartement,1,2,1,40,06/2023,248,177400,4435.0
6 RUE DESCARTES - PONTOISE,Maison,0,3,2,55,06/2023,248,180000,3272.73
20 LES HTS DE MARCOUVILLE - PONTOISE,Appartement,1,4,3,84,06/2023,248,152000,1809.52
33 LES HTS DE MARCOUVILLE - PONTOISE,Appartement,1,5,4,97,06/2023,248,160000,1649.48
24 IMPASSE DU NORD - ST OUEN L AUMONE,Maison,0,4,3,68,06/2023,248,157000,2308.82
1B RUE PETIT DE COUPRAY - PONTOISE,Appartement,1,4,3,68,06/2023,248,281200,4135.29
27 RUE DE GISORS - PONTOISE,Appartement,1,1,1,22,06/2023,248,105000,4772.73
9 RUE DE LA CORNE - PONTOISE,Appartement,1,1,1,22,06/2023,248,75000,3409.09
29 PLACE DU PETIT MARTROY - PONTOISE,Appartement,1,3,2,52,06/2023,248,250000,4807.69
7 RUE LEMERCIER - PONTOISE,Appartement,1,1,1,25,06/2023,248,117000,4680.0
21 QUAI DE L ECLUSE - ST OUEN L AUMONE,Appartement,1,1,1,36,06/2023,248,148500,4125.0
21 RUE THIERS - PONTOISE,Appartement,1,2,1,47,06/2023,248,168000,3574.47
